agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
RMax_1,TestGrid,0.9,3,1,10,10,0.0,0.0,0.019611000000000267
RMax_1,TestGrid,0.9,3,2,10,10,4.0,1.9398186990000004,0.0406439999999999
RMax_1,TestGrid,0.9,3,3,10,10,0.0,0.0,0.032520000000000326
RMax_1,TestGrid,0.9,3,4,10,10,0.0,0.0,0.030651000000000206
RMax_1,TestGrid,0.9,3,5,10,10,6.0,3.0742155990000004,0.022727000000000164
RMax_1,TestGrid,0.9,3,6,10,10,7.0,3.8032155990000005,0.00013700000000005375
RMax_1,TestGrid,0.9,3,7,10,10,7.0,3.8032155990000005,0.00013000000000040757
RMax_1,TestGrid,0.9,3,8,10,10,7.0,3.8032155990000005,0.00013200000000024303
RMax_1,TestGrid,0.9,3,9,10,10,7.0,3.8032155990000005,0.00013100000000010326
RMax_1,TestGrid,0.9,3,10,10,10,7.0,3.8032155990000005,0.00013299999999993872
